,kW,HP,Frame,List Price,Pole,IE No.,Cat. 
0,0.75,1,80Z,11715,2,4,MHCRTDS20X75
1,1.1,1.5,80Z,12750,2,4,MHCRTDS201X1
2,1.5,2,90S,14790,2,4,MHCRTES201X5
3,2.2,3,90L,18975,2,4,MHCRTFS202X2
4,3,4,100L,23535,2,4,MHCRTGS203X7
5,3.7,5,100L,40095,2,4,MHCRTIS205X5
6,5.5,7.5,132S,43065,2,4,MHCRTIS207X5
7,7.5,10,132S,64050,2,4,MHCRTJS209X3
8,11,15,160M,77490,2,4,MHCRTKS20011
9,15,20,160M,84060,2,4,MHCRTKS20015
10,18.5,25,160L,108015,2,4,MHCRTLS218X5
11,22,30,180M,112575,2,4,MHCRTMS20022
12,30,40,200L,172830,2,4,MHCRTOS20030
13,37,50,200L,203190,2,4,MHCRTOS20037
14,45,60,225M,261420,2,4,MHCRTQS20045
15,55,75,250M,360615,2,4,MHCRTRS20055
16,0.55,0.75,80Z,12015,4,4,MHCRTDS40X55
17,0.75,1,80Z,12180,4,4,MHCRTDS40X75
18,1.1,1.5,90S,15045,4,4,MHCRTES401X1
19,1.5,2,90L,17715,4,4,MHCRTFS401X5
20,2.2,3,100L,22050,4,4,MHCRTGS402X2
21,3.7,5,112M,27945,4,4,MHCRTHS403X7
22,5.5,7.5,132S,38520,4,4,MHCRTIS405X5
23,7.5,10,132M,44925,4,4,MHCRTJS407X5
24,11,15,160M,75210,4,4,MHCRTKS40011
25,15,20,160L,91170,4,4,MHCRTLS40015
26,18.5,25,180M,112905,4,4,MHCRTMS418X5
27,22,30,180L,119685,4,4,MHCRTLS40022
28,30,40,200L,169035,4,4,MHCRTOS40030
29,37,50,225S,202560,4,4,MHCRTPS40037
30,45,60,225M,244860,4,4,MHCRTQS40045
31,55,75,250M,335235,4,4,MHCRTRS40055
32,0.37,0.5,80Z,12750,6,4,MHCRTDS60X37
33,0.55,0.75,80Z,13080,6,4,MHCRTDS60X55
34,0.75,1,90S,14865,6,4,MHCRTES60X75
35,1.1,1.5,90L,16305,6,4,MHCRTFS601X1
36,1.5,2,100L,23250,6,4,MHCRTGS601X5
37,2.2,3,112M,25260,6,4,MHCRTHS602X2
38,3.7,5,132S,39315,6,4,MHCRTIS603X7
39,5.5,7.5,132M,47235,6,4,MHCRTJS605X5
40,7.5,10,160M,73110,6,4,MHCRTKS607X5
41,11,15,160L,90405,6,4,MHCRTLS60011
42,15,20,180L,111030,6,4,MHCRTNS60015
43,18.5,25,200L,154050,6,4,MHCRTOS618X5
44,22,30,200L,165885,6,4,MHCRTOS60022
45,30,40,225M,246795,6,4,MHCRTQS60030
46,37,50,250M,335640,6,4,MHCRTRS60037
47,0.18,0.25,63Z,7430,2,3,MHHPTBS20X18
48,0.25,0.33,63Z,7540,2,3,MHHPTBS20X25
49,0.37,0.5,71Z,7780,2,3,MHHPTCS20X37
50,0.55,0.75,71Z,9950,2,3,MHHPTCS20X55
51,0.75,1,80Z,10270,2,3,MHHPTDS20X75
52,1.1,1.5,80Z,11210,2,3,MHHPTDS201X1
53,1.5,2,90S,13040,2,3,MHCPTES201X5
54,2.2,3,90L,16710,2,3,MHCPTFS202X2
55,3,4,100L,20980,2,3,MHCPTGS20003
56,3.7,5,100L,21440,2,3,MHCPTGS203X7
57,5.5,7.5,132S,34010,2,3,MHCPTIS205X5
58,7.5,10,132S,35210,2,3,MHCPTIS207X5
59,9.3,12.5,132M,53990,2,3,MHCPTJS209X3
60,9.3,12.5,160M,59040,2,3,MHCPTKS209X3
61,11,15,160M,61200,2,3,MHCPTKS20011
62,15,20,160M,71700,2,3,MHCPTKS20015
63,18.5,25,160L,92150,2,3,MHCPTLS218X5
64,22,30,180M,97280,2,3,MHCPTMS20022
65,30,40,200L,143910,2,3,MHCPTOS20030
66,37,50,200L,175670,2,3,MHCPTOS20037
67,45,60,225M,226080,2,3,MHCPTQS20045
68,55,75,250M,305120,2,3,MHCPTRS20055
69,75,100,280S,393360,2,3,MHCPTSS20075
70,90,120,280M,451750,2,3,MHCPTTS20090
71,110,150,315S,553110,2,3,MHCPTUS20110
72,132,180,315M,678560,2,3,MHCPTVS20132
73,160,215,315L,744900,2,3,MHCPTWS2160
74,180,240,315L,805130,2,3,MHCPTWS2180
75,200,270,315L,864170,2,3,MHCPTWS20200
76,225,300,355M,954070,2,3,MHCPTYS20225
77,250,335,355M,1009880,2,3,MHCPTYS20250
78,275,370,355L,1069140,2,3,MHCPTZS20275
79,315,425,355L,1094850,2,3,MHCPTZS20315
80,0.18,0.25,63Z,7540,4,3,MHHPTBS40X18
81,0.25,0.33,71Z,7740,4,3,MHHPTCS40X25
82,0.37,0.5,71Z,8060,4,3,MHHPTCS40X37
83,0.55,0.75,80Z,10550,4,3,MHHPTDS40X55
84,0.75,1,80Z,10700,4,3,MHHPTDS40X75
85,1.1,1.5,90S,13320,4,3,MHCPTES401X1
86,1.5,2,90L,15560,4,3,MHCPTFS401X5
87,2.2,3,100L,18820,4,3,MHCPTGS402X2
88,3,4,100L,19930,4,3,MHCPTGS40003
89,3.7,5,112M,24330,4,3,MHCPTHS403X7
90,5.5,7.5,132S,33600,4,3,MHCPTIS405X5
91,7.5,10,132M,39340,4,3,MHCPTJS407X5
92,9.3,12.5,132M,50410,4,3,MHCPTJS409X3
93,9.3,12.5,160M,62810,4,3,MHCPTKS409X3
94,11,15,160M,64360,4,3,MHCPTKS40011
95,15,20,160L,78470,4,3,MHCPTLS40015
96,18.5,25,180M,98040,4,3,MHCPTMS418X5
97,22,30,180L,102360,4,3,MHCPTNS40022
98,30,40,200L,138240,4,3,MHCPTOS40030
99,37,50,225S,174600,4,3,MHCPTPS40037
100,45,60,225M,209950,4,3,MHCPTQS40045
101,55,75,250M,282410,4,3,MHCPTRS40055
102,75,100,280S,358650,4,3,MHCPTSS40075
103,90,120,280M,416050,4,3,MHCPTTS40090
104,110,150,315S,484980,4,3,MHCPTUS40110
105,132,180,315M,571180,4,3,MHCPTVS40132
106,160,220,315L,679710,4,3,MHCPTWS40160
107,180,240,315L,808890,4,3,MHCPTWS40180
108,200,270,315L,811230,4,3,MHCPTWS40200
109,225,300,355M,1040290,4,3,MHCPTYS40225
110,250,340,355M,1087080,4,3,MHCPTYS40250
111,275,370,355M,1124060,4,3,MHCPTYS40275
112,315,425,355L,1133500,4,3,MHCPTZS40315
113,0.18,0.25,71Z,10100,6,3,MHHPTCS60X18
114,0.25,0.33,71Z,10650,6,3,MHHPTCS60X25
115,0.37,0.5,80Z,11180,6,3,MHHPTDS60X37
116,0.55,0.75,80Z,11480,6,3,MHHPTDS60X55
117,0.75,1,90S,13070,6,3,MHCPTES60X75
118,1.1,1.5,90L,14310,6,3,MHCPTFS601X1
119,1.5,2,100L,21210,6,3,MHCPTGS601X5
120,2.2,3,112M,22770,6,3,MHCPTHS602X2
121,3,4,112M,24850,6,3,MHCPTHS60003
122,3.7,5,132S,33880,6,3,MHCPTIS603X7
